t-ab	t̪ˠ a bˠ
m'uair	ˈ mˠ ua ɾʲ
b'uaisle	ˈ bˠ ua ʃ lʲ ə
n-uaisle	ˈ n̻ˠ ua ʃ lʲ ə
d'uaisle	ˈ d̪ˠ ua ʃ lʲ ə
m'uaisle	ˈ mˠ ua ʃ lʲ ə
t-ualach	ˈ t̪ˠ ua l̻ˠ a h
b'ualach	ˈ bˠ ua l̻ˠ a h
n-ualach	ˈ n̻ˠ ua l̻ˠ a h
d'ualach	ˈ d̪ˠ ua l̻ˠ a h
m'ualach	ˈ mˠ ua l̻ˠ a h
t-uasal	ˈ t̪ˠ ua sˠ ə l̻ˠ
b'uasal	ˈ bˠ ua sˠ ə l̻ˠ
n-uasal	ˈ n̻ˠ ua sˠ ə l̻ˠ
d'uasal	ˈ d̪ˠ ua sˠ ə l̻ˠ
m'uasal	ˈ mˠ ua sˠ ə l̻ˠ
t-uatha	ˈ t̪ˠ ua h ə
b'uatha	ˈ bˠ ua h ə
n-uatha	ˈ n̻ˠ ua h ə
d'uatha	ˈ d̪ˠ ua h ə
m'uatha	ˈ mˠ ua h ə
t-úd	ˈ t̪ˠ uː d̪ˠ
b'úd	ˈ bˠ uː d̪ˠ
n-úd	ˈ n̻ˠ uː d̪ˠ
d'úd	ˈ d̪ˠ uː d̪ˠ
m'úd	ˈ mˠ uː d̪ˠ
b'uí	ˈ bˠ iː
n-uí	ˈ n̻ˠ iː
d'uí	ˈ d̪ˠ iː
m'uí	ˈ mˠ iː
b'uile	ˈ bˠ i lʲ ə
n-uile	ˈ n̻ˠ i lʲ ə
d'uile	ˈ d̪ˠ i lʲ ə
m'uile	ˈ mˠ i lʲ ə
b'urchair	bˠ u ɾˠ ə x ə ɾʲ
n-urchair	n̻ˠ u ɾˠ ə x ə ɾʲ
d'urchair	d̪ˠ u ɾˠ ə x ə ɾʲ
m'urchair	mˠ u ɾˠ ə x ə ɾʲ
t-urchar	ˈ t̪ˠ u ɾˠ a h ə ɾˠ
b'urchar	ˈ bˠ u ɾˠ a h ə ɾˠ
n-urchar	ˈ n̻ˠ u ɾˠ a h ə ɾˠ
d'urchar	ˈ d̪ˠ u ɾˠ a h ə ɾˠ
m'urchar	ˈ mˠ u ɾˠ a h ə ɾˠ
b'urlabhra	ˈ bˠ u ɾˠ l̻ˠ oː ɾˠ ə
n-urlabhra	ˈ n̻ˠ u ɾˠ l̻ˠ oː ɾˠ ə
d'urlabhra	ˈ d̪ˠ u ɾˠ l̻ˠ oː ɾˠ ə
m'urlabhra	ˈ mˠ u ɾˠ l̻ˠ oː ɾˠ ə
b'úsáid	ˈ bˠ uː sˠ a dʲ
n-úsáid	ˈ n̻ˠ uː sˠ a dʲ
d'úsáid	ˈ d̪ˠ uː sˠ a dʲ
m'úsáid	ˈ mˠ uː sˠ a dʲ
t-ab	t̪ˠ a bˠ
b'ab	bˠ a bˠ
n-ab	n̻ˠ a bˠ
d'ab	d̪ˠ a bˠ
m'ab	mˠ a bˠ
b'abair	bˠ a bˠ ə ɾʲ
n-abair	n̻ˠ a bˠ ə ɾʲ
d'abair	d̪ˠ a bˠ ə ɾʲ
m'abair	mˠ a bˠ ə ɾʲ
b'abairt	ˈ bˠ a bˠ ə ɾˠ tʲ
n-abairt	ˈ n̻ˠ a bˠ ə ɾˠ tʲ
d'abairt	ˈ d̪ˠ a bˠ ə ɾˠ tʲ
m'abairt	ˈ mˠ a bˠ ə ɾˠ tʲ
b'ábalta	ˈ bˠ aː bˠ ə l̻ˠ t̪ˠ ə
n-ábalta	ˈ n̻ˠ aː bˠ ə l̻ˠ t̪ˠ ə
b'ábaltacht	ˈ bˠ aː bˠ ə l̻ˠ t̪ˠ a x t̪ˠ
n-ábaltacht	ˈ n̻ˠ aː bˠ ə l̻ˠ t̪ˠ a x t̪ˠ
d'ábaltacht	ˈ d̪ˠ aː bˠ ə l̻ˠ t̪ˠ a x t̪ˠ
m'ábaltacht	ˈ mˠ aː bˠ ə l̻ˠ t̪ˠ a x t̪ˠ
t-abar	ˈ t̪ˠ a bˠ ə ɾˠ
b'abar	ˈ bˠ a bˠ ə ɾˠ
n-abar	ˈ n̻ˠ a bˠ ə ɾˠ
d'abar	ˈ d̪ˠ a bˠ ə ɾˠ
m'abar	ˈ mˠ a bˠ ə ɾˠ
b'abdómain	bˠ 
n-abdómain	n̻ˠ 
d'abdómain	d̪ˠ 
m'abdómain	mˠ 
t-abdóman	t̪ˠ 
b'abdóman	bˠ 
n-abdóman	n̻ˠ 
d'abdóman	d̪ˠ 
m'abdóman	mˠ 
t-abhac	ˈ t̪ˠ oː k
b'abhac	ˈ bˠ oː k
n-abhac	ˈ n̻ˠ oː k
d'abhac	ˈ d̪ˠ oː k
m'abhac	ˈ mˠ oː k
b'abhaill	ˈ bˠ au l̻ʲ
n-abhaill	ˈ n̻ˠ au l̻ʲ
d'abhaill	ˈ d̪ˠ au l̻ʲ
m'abhaill	ˈ mˠ au l̻ʲ
b'abhainn	ˈ bˠ oː n̻ʲ
n-abhainn	ˈ n̻ˠ oː n̻ʲ
d'abhainn	ˈ d̪ˠ oː n̻ʲ
m'abhainn	ˈ mˠ oː n̻ʲ
b'ábhair	ˈ bˠ aː vˠ ə ɾʲ
n-ábhair	ˈ n̻ˠ aː vˠ ə ɾʲ
d'ábhair	ˈ d̪ˠ aː vˠ ə ɾʲ
m'ábhair	ˈ mˠ aː vˠ ə ɾʲ
b'ábhalmhór	ˈ bˠ aː vˠ ə l̻ˠ ˈ vˠ o ɾˠ
n-ábhalmhór	ˈ n̻ˠ aː vˠ ə l̻ˠ ˈ vˠ o ɾˠ
b'abhann	ˈ bˠ au n̻ˠ
n-abhann	ˈ n̻ˠ au n̻ˠ
d'abhann	ˈ d̪ˠ au n̻ˠ
m'abhann	ˈ mˠ au n̻ˠ
b'abhantrach	ˈ bˠ oː n̻ˠ t̪ˠ ɾˠ a h
n-abhantrach	ˈ n̻ˠ oː n̻ˠ t̪ˠ ɾˠ a h
d'abhantrach	ˈ d̪ˠ oː n̻ˠ t̪ˠ ɾˠ a h
m'abhantrach	ˈ mˠ oː n̻ˠ t̪ˠ ɾˠ a h
t-ábhar	ˈ t̪ˠ aː vˠ ə ɾˠ
b'ábhar	ˈ bˠ aː vˠ ə ɾˠ
n-ábhar	ˈ n̻ˠ aː vˠ ə ɾˠ
d'ábhar	ˈ d̪ˠ aː vˠ ə ɾˠ
m'ábhar	ˈ mˠ aː vˠ ə ɾˠ
t-ábharachas	ˈ t̪ˠ aː vˠ ə ɾˠ a h ə sˠ
b'ábharachas	ˈ bˠ aː vˠ ə ɾˠ a h ə sˠ
n-ábharachas	ˈ n̻ˠ aː vˠ ə ɾˠ a h ə sˠ
d'ábharachas	ˈ d̪ˠ aː vˠ ə ɾˠ a h ə sˠ
m'ábharachas	ˈ mˠ aː vˠ ə ɾˠ a h ə sˠ
b'ábhartha	ˈ bˠ aː vˠ ə ɾˠ h ə
n-ábhartha	ˈ n̻ˠ aː vˠ ə ɾˠ h ə
t-abhcóide	ˈ t̪ˠ oː k o dʲ ə
b'abhcóide	ˈ bˠ oː k o dʲ ə
n-abhcóide	ˈ n̻ˠ oː k o dʲ ə
d'abhcóide	ˈ d̪ˠ oː k o dʲ ə
m'abhcóide	ˈ mˠ oː k o dʲ ə
b'abhlann	ˈ bˠ au l̻ˠ ə n̻ˠ
n-abhlann	ˈ n̻ˠ au l̻ˠ ə n̻ˠ
d'abhlann	ˈ d̪ˠ au l̻ˠ ə n̻ˠ
m'abhlann	ˈ mˠ au l̻ˠ ə n̻ˠ
t-abhlóir	ˈ t̪ˠ au l̻ˠ o ɾʲ
b'abhlóir	ˈ bˠ au l̻ˠ o ɾʲ
n-abhlóir	ˈ n̻ˠ au l̻ˠ o ɾʲ
d'abhlóir	ˈ d̪ˠ au l̻ˠ o ɾʲ
m'abhlóir	ˈ mˠ au l̻ˠ o ɾʲ
b'abhóg	ˈ bˠ a vˠ o ɡ
n-abhóg	ˈ n̻ˠ a vˠ o ɡ
d'abhóg	ˈ d̪ˠ a vˠ o ɡ
m'abhóg	ˈ mˠ a vˠ o ɡ
b'abláil	ˈ bˠ a bˠ l̻ˠ a lʲ
n-abláil	ˈ n̻ˠ a bˠ l̻ˠ a lʲ
d'abláil	ˈ d̪ˠ a bˠ l̻ˠ a lʲ
m'abláil	ˈ mˠ a bˠ l̻ˠ a lʲ
b'acadúil	ˈ bˠ a k ə d̪ˠ u lʲ
n-acadúil	ˈ n̻ˠ a k ə d̪ˠ u lʲ
b'achainí	ˈ bˠ a h ə nʲ iː
n-achainí	ˈ n̻ˠ a h ə nʲ iː
d'achainí	ˈ d̪ˠ a h ə nʲ iː
m'achainí	ˈ mˠ a h ə nʲ iː
n-achainigh	ˈ n̻ˠ a h ə nʲ iː
d'achainigh	ˈ d̪ˠ a h ə nʲ iː
t-achainíoch	ˈ t̪ˠ a h ə nʲ i a h
b'achainíoch	ˈ bˠ a h ə nʲ i a h
n-achainíoch	ˈ n̻ˠ a h ə nʲ i a h
d'achainíoch	ˈ d̪ˠ a h ə nʲ i a h
m'achainíoch	ˈ mˠ a h ə nʲ i a h
t-achar	ˈ t̪ˠ a h ə ɾˠ
b'achar	ˈ bˠ a h ə ɾˠ
n-achar	ˈ n̻ˠ a h ə ɾˠ
d'achar	ˈ d̪ˠ a h ə ɾˠ
m'achar	ˈ mˠ a h ə ɾˠ
t-achasán	ˈ t̪ˠ a h ə sˠ a n̻ˠ
b'achasán	ˈ bˠ a h ə sˠ a n̻ˠ
n-achasán	ˈ n̻ˠ a h ə sˠ a n̻ˠ
d'achasán	ˈ d̪ˠ a h ə sˠ a n̻ˠ
m'achasán	ˈ mˠ a h ə sˠ a n̻ˠ
b'achoimre	ˈ bˠ a h o mʲ ɾʲ ə
n-achoimre	ˈ n̻ˠ a h o mʲ ɾʲ ə
d'achoimre	ˈ d̪ˠ a h o mʲ ɾʲ ə
m'achoimre	ˈ mˠ a h o mʲ ɾʲ ə
n-achoimrigh	ˈ n̻ˠ a h o mʲ ɾʲ iː
d'achoimrigh	ˈ d̪ˠ a h o mʲ ɾʲ iː
t-achoimriú	ˈ t̪ˠ a h ə mʲ ɾʲ uː
b'achoimriú	ˈ bˠ a h ə mʲ ɾʲ uː
n-achoimriú	ˈ n̻ˠ a h ə mʲ ɾʲ uː
d'achoimriú	ˈ d̪ˠ a h ə mʲ ɾʲ uː
m'achoimriú	ˈ mˠ a h ə mʲ ɾʲ uː
b'achomair	ˈ bˠ a h o mˠ ə ɾʲ
n-achomair	ˈ n̻ˠ a h o mˠ ə ɾʲ
b'achomhairc	ˈ bˠ a h oː ə ɾʲ c
n-achomhairc	ˈ n̻ˠ a h oː ə ɾʲ c
d'achomhairc	ˈ d̪ˠ a h oː ə ɾʲ c
m'achomhairc	ˈ mˠ a h oː ə ɾʲ c
t-achomharc	ˈ t̪ˠ a h oː ɾˠ k
b'achomharc	ˈ bˠ a h oː ɾˠ k
n-achomharc	ˈ n̻ˠ a h oː ɾˠ k
d'achomharc	ˈ d̪ˠ a h oː ɾˠ k
m'achomharc	ˈ mˠ a h oː ɾˠ k
t-achomharcóir	ˈ t̪ˠ a h oː ɾˠ k o ɾʲ
b'achomharcóir	ˈ bˠ a h oː ɾˠ k o ɾʲ
n-achomharcóir	ˈ n̻ˠ a h oː ɾˠ k o ɾʲ
d'achomharcóir	ˈ d̪ˠ a h oː ɾˠ k o ɾʲ
m'achomharcóir	ˈ mˠ a h oː ɾˠ k o ɾʲ
t-achrann	ˈ t̪ˠ a h ɾˠ ə n̻ˠ
b'achrann	ˈ bˠ a h ɾˠ ə n̻ˠ
n-achrann	ˈ n̻ˠ a h ɾˠ ə n̻ˠ
d'achrann	ˈ d̪ˠ a h ɾˠ ə n̻ˠ
m'achrann	ˈ mˠ a h ɾˠ ə n̻ˠ
b'achrannach	ˈ bˠ a h ɾˠ ə n̻ˠ a h
n-achrannach	ˈ n̻ˠ a h ɾˠ ə n̻ˠ a h
t-acht	ˈ t̪ˠ a ɾˠ t̪ˠ
b'acht	ˈ bˠ a ɾˠ t̪ˠ
n-acht	ˈ n̻ˠ a ɾˠ t̪ˠ
d'acht	ˈ d̪ˠ a ɾˠ t̪ˠ
m'acht	ˈ mˠ a ɾˠ t̪ˠ
t-achtúire	ˈ t̪ˠ a ɾˠ t̪ˠ u ɾʲ ə
b'achtúire	ˈ bˠ a ɾˠ t̪ˠ u ɾʲ ə
n-achtúire	ˈ n̻ˠ a ɾˠ t̪ˠ u ɾʲ ə
d'achtúire	ˈ d̪ˠ a ɾˠ t̪ˠ u ɾʲ ə
m'achtúire	ˈ mˠ a ɾˠ t̪ˠ u ɾʲ ə
b'aclaí	ˈ bˠ a k l̻ˠ iː
n-aclaí	ˈ n̻ˠ a k l̻ˠ iː
n-aclaigh	ˈ n̻ˠ a k l̻ˠ iː
d'aclaigh	ˈ d̪ˠ a k l̻ˠ iː
b'aclaíocht	ˈ bˠ a k l̻ˠ iː a x t̪ˠ
n-aclaíocht	ˈ n̻ˠ a k l̻ˠ iː a x t̪ˠ
d'aclaíocht	ˈ d̪ˠ a k l̻ˠ iː a x t̪ˠ
m'aclaíocht	ˈ mˠ a k l̻ˠ iː a x t̪ˠ
b'aclaíochta	ˈ bˠ a k l̻ˠ iˑə ɾˠ t̪ˠ ə
n-aclaíochta	ˈ n̻ˠ a k l̻ˠ iˑə ɾˠ t̪ˠ ə
d'aclaíochta	ˈ d̪ˠ a k l̻ˠ iˑə ɾˠ t̪ˠ ə
m'aclaíochta	ˈ mˠ a k l̻ˠ iˑə ɾˠ t̪ˠ ə
t-aclú	ˈ t̪ˠ a k l̻ˠ uː
b'aclú	ˈ bˠ a k l̻ˠ uː
n-aclú	ˈ n̻ˠ a k l̻ˠ uː
d'aclú	ˈ d̪ˠ a k l̻ˠ uː
m'aclú	ˈ mˠ a k l̻ˠ uː
b'acmhainn	ˈ bˠ a k vˠ ə n̻ʲ
n-acmhainn	ˈ n̻ˠ a k vˠ ə n̻ʲ
d'acmhainn	ˈ d̪ˠ a k vˠ ə n̻ʲ
m'acmhainn	ˈ mˠ a k vˠ ə n̻ʲ
b'acmhainneacht	ˈ bˠ a k vˠ ə n̻ʲ ə ɾˠ t̪ˠ
n-acmhainneacht	ˈ n̻ˠ a k vˠ ə n̻ʲ ə ɾˠ t̪ˠ
d'acmhainneacht	ˈ d̪ˠ a k vˠ ə n̻ʲ ə ɾˠ t̪ˠ
m'acmhainneacht	ˈ mˠ a k vˠ ə n̻ʲ ə ɾˠ t̪ˠ
b'acmhainní	ˈ bˠ a k vˠ ə n̻ʲ iː
n-acmhainní	ˈ n̻ˠ a k vˠ ə n̻ʲ iː
t-acomhal	ˈ t̪ˠ a k oː l̻ˠ
b'acomhal	ˈ bˠ a k oː l̻ˠ
n-acomhal	ˈ n̻ˠ a k oː l̻ˠ
d'acomhal	ˈ d̪ˠ a k oː l̻ˠ
m'acomhal	ˈ mˠ a k oː l̻ˠ
t-adamh	ˈ t̪ˠ a d̪ˠ uː
b'adamh	ˈ bˠ a d̪ˠ uː
n-adamh	ˈ n̻ˠ a d̪ˠ uː
d'adamh	ˈ d̪ˠ a d̪ˠ uː
m'adamh	ˈ mˠ a d̪ˠ uː
b'adamhach	ˈ bˠ a d̪ˠ ə vˠ a h
n-adamhach	ˈ n̻ˠ a d̪ˠ ə vˠ a h
t-ádh	ˈ t̪ˠ aː ɣ
b'ádh	ˈ bˠ aː ɣ
n-ádh	ˈ n̻ˠ aː ɣ
d'ádh	ˈ d̪ˠ aː ɣ
m'ádh	ˈ mˠ aː ɣ
n-adhain	ˈ n̻ˠ eː nʲ
d'adhain	ˈ d̪ˠ eː nʲ
b'adhainte	ˈ bˠ eː nʲ tʲ ə
n-adhainte	ˈ n̻ˠ eː nʲ tʲ ə
d'adhainte	ˈ d̪ˠ eː nʲ tʲ ə
m'adhainte	ˈ mˠ eː nʲ tʲ ə
n-adhair	ˈ n̻ˠ eː ɾʲ
d'adhair	ˈ d̪ˠ eː ɾʲ
b'adharc	ˈ bˠ eː ɾˠ k
n-adharc	ˈ n̻ˠ eː ɾˠ k
d'adharc	ˈ d̪ˠ eː ɾˠ k
m'adharc	ˈ mˠ eː ɾˠ k
b'adharcach	ˈ bˠ eː ɾˠ k a h
n-adharcach	ˈ n̻ˠ eː ɾˠ k a h
t-adhastar	ˈ t̪ˠ eː sˠ t̪ˠ ə ɾˠ
b'adhastar	ˈ bˠ eː sˠ t̪ˠ ə ɾˠ
n-adhastar	ˈ n̻ˠ eː sˠ t̪ˠ ə ɾˠ
d'adhastar	ˈ d̪ˠ eː sˠ t̪ˠ ə ɾˠ
m'adhastar	ˈ mˠ eː sˠ t̪ˠ ə ɾˠ
t-adhlacóir	ˈ t̪ˠ eː l̻ˠ ə k o ɾʲ
b'adhlacóir	ˈ bˠ eː l̻ˠ ə k o ɾʲ
n-adhlacóir	ˈ n̻ˠ eː l̻ˠ ə k o ɾʲ
d'adhlacóir	ˈ d̪ˠ eː l̻ˠ ə k o ɾʲ
m'adhlacóir	ˈ mˠ eː l̻ˠ ə k o ɾʲ
b'adhlactha	ˈ bˠ eː l̻ˠ ə k h ə
n-adhlactha	ˈ n̻ˠ eː l̻ˠ ə k h ə
d'adhlactha	ˈ d̪ˠ eː l̻ˠ ə k h ə
m'adhlactha	ˈ mˠ eː l̻ˠ ə k h ə
n-adhlaic	ˈ n̻ˠ eː l̻ˠ ə c
d'adhlaic	ˈ d̪ˠ eː l̻ˠ ə c
t-adhmad	ˈ t̪ˠ eː mˠ ə d̪ˠ
b'adhmad	ˈ bˠ eː mˠ ə d̪ˠ
n-adhmad	ˈ n̻ˠ eː mˠ ə d̪ˠ
d'adhmad	ˈ d̪ˠ eː mˠ ə d̪ˠ
m'adhmad	ˈ mˠ eː mˠ ə d̪ˠ
b'adhmaid	ˈ bˠ eː mˠ ə dʲ
n-adhmaid	ˈ n̻ˠ eː mˠ ə dʲ
d'adhmaid	ˈ d̪ˠ eː mˠ ə dʲ
m'adhmaid	ˈ mˠ eː mˠ ə dʲ
t-adhmholadh	ˈ t̪ˠ eː vˠ o l̻ˠ uː
b'adhmholadh	ˈ bˠ eː vˠ o l̻ˠ uː
n-adhmholadh	ˈ n̻ˠ eː vˠ o l̻ˠ uː
d'adhmholadh	ˈ d̪ˠ eː vˠ o l̻ˠ uː
m'adhmholadh	ˈ mˠ eː vˠ o l̻ˠ uː
b'ádhúil	ˈ bˠ aː uː lʲ
n-ádhúil	ˈ n̻ˠ aː uː lʲ
n-admhaigh	ˈ n̻ˠ a d̪ˠ vˠ iː
d'admhaigh	ˈ d̪ˠ a d̪ˠ vˠ iː
b'admháil	ˈ bˠ a d̪ˠ vˠ a lʲ
n-admháil	ˈ n̻ˠ a d̪ˠ vˠ a lʲ
d'admháil	ˈ d̪ˠ a d̪ˠ vˠ a lʲ
m'admháil	ˈ mˠ a d̪ˠ vˠ a lʲ
b'admhála	ˈ bˠ a dʲ vˠ a l̻ˠ ə
n-admhála	ˈ n̻ˠ a dʲ vˠ a l̻ˠ ə
d'admhála	ˈ d̪ˠ a dʲ vˠ a l̻ˠ ə
m'admhála	ˈ mˠ a dʲ vˠ a l̻ˠ ə
b'aduain	ˈ bˠ a d̪ˠ ua nʲ
n-aduain	ˈ n̻ˠ a d̪ˠ ua nʲ
t-ae	ˈ t̪ˠ eː
b'ae	ˈ bˠ eː
n-ae	ˈ n̻ˠ eː
d'ae	ˈ d̪ˠ eː
m'ae	ˈ mˠ eː
b'aeir	ˈ bˠ eː ɾʲ
n-aeir	ˈ n̻ˠ eː ɾʲ
d'aeir	ˈ d̪ˠ eː ɾʲ
m'aeir	ˈ mˠ eː ɾʲ
t-aer	ˈ t̪ˠ eː ɾˠ
b'aer	ˈ bˠ eː ɾˠ
n-aer	ˈ n̻ˠ eː ɾˠ
d'aer	ˈ d̪ˠ eː ɾˠ
m'aer	ˈ mˠ eː ɾˠ
b'aerach	ˈ bˠ eː ɾˠ a h
n-aerach	ˈ n̻ˠ eː ɾˠ a h
b'aeráid	ˈ bˠ eː ɾˠ a dʲ
n-aeráid	ˈ n̻ˠ eː ɾˠ a dʲ
d'aeráid	ˈ d̪ˠ eː ɾˠ a dʲ
m'aeráid	ˈ mˠ eː ɾˠ a dʲ
b'aeráide	ˈ bˠ eː ˈ ɾˠ aː dʲ ə
n-aeráide	ˈ n̻ˠ eː ˈ ɾˠ aː dʲ ə
d'aeráide	ˈ d̪ˠ eː ˈ ɾˠ aː dʲ ə
m'aeráide	ˈ mˠ eː ˈ ɾˠ aː dʲ ə
t-aeráil	ˈ t̪ˠ eː ɾˠ a lʲ
b'aeráil	ˈ bˠ eː ɾˠ a lʲ
n-aeráil	ˈ n̻ˠ eː ɾˠ a lʲ
d'aeráil	ˈ d̪ˠ eː ɾˠ a lʲ
m'aeráil	ˈ mˠ eː ɾˠ a lʲ
t-aerárthach	ˈ t̪ˠ eː ɾˠ ˈ a ɾˠ h a h
b'aerárthach	ˈ bˠ eː ɾˠ ˈ a ɾˠ h a h
n-aerárthach	ˈ n̻ˠ eː ɾˠ ˈ a ɾˠ h a h
d'aerárthach	ˈ d̪ˠ eː ɾˠ ˈ a ɾˠ h a h
m'aerárthach	ˈ mˠ eː ɾˠ ˈ a ɾˠ h a h
t-aeraspás	ˈ t̪ˠ eː ˈ ɾˠ a sˠ pˠ aː sˠ
b'aeraspás	ˈ bˠ eː ˈ ɾˠ a sˠ pˠ aː sˠ
n-aeraspás	ˈ n̻ˠ eː ˈ ɾˠ a sˠ pˠ aː sˠ
d'aeraspás	ˈ d̪ˠ eː ˈ ɾˠ a sˠ pˠ aː sˠ
m'aeraspás	ˈ mˠ eː ˈ ɾˠ a sˠ pˠ aː sˠ
t-aerfhórsa	ˈ t̪ˠ eː ɾˠ ˈ oː ɾˠ sˠ ə
b'aerfhórsa	ˈ bˠ eː ɾˠ ˈ oː ɾˠ sˠ ə
n-aerfhórsa	ˈ n̻ˠ eː ɾˠ ˈ oː ɾˠ sˠ ə
d'aerfhórsa	ˈ d̪ˠ eː ɾˠ ˈ oː ɾˠ sˠ ə
m'aerfhórsa	ˈ mˠ eː ɾˠ ˈ oː ɾˠ sˠ ə
t-aerfort	ˈ t̪ˠ eː ɾˠ fˠ a ɾˠ t̪ˠ
b'aerfort	ˈ bˠ eː ɾˠ fˠ a ɾˠ t̪ˠ
n-aerfort	ˈ n̻ˠ eː ɾˠ fˠ a ɾˠ t̪ˠ
d'aerfort	ˈ d̪ˠ eː ɾˠ fˠ a ɾˠ t̪ˠ
m'aerfort	ˈ mˠ eː ɾˠ fˠ a ɾˠ t̪ˠ
b'aerlíne	ˈ bˠ eː ɾˠ ˈ l̻ʲ iː nʲ ə
n-aerlíne	ˈ n̻ˠ eː ɾˠ ˈ l̻ʲ iː nʲ ə
d'aerlíne	ˈ d̪ˠ eː ɾˠ ˈ l̻ʲ iː nʲ ə
m'aerlíne	ˈ mˠ eː ɾˠ ˈ l̻ʲ iː nʲ ə
b'aeróbach	ˈ bˠ eː ˈ ɾˠ oː bˠ ə h
n-aeróbach	ˈ n̻ˠ eː ˈ ɾˠ oː bˠ ə h
b'aeróg	ˈ bˠ eː ɾˠ o ɡ
n-aeróg	ˈ n̻ˠ eː ɾˠ o ɡ
d'aeróg	ˈ d̪ˠ eː ɾˠ o ɡ
m'aeróg	ˈ mˠ eː ɾˠ o ɡ
b'aerpháirc	ˈ bˠ eː ɾˠ ˈ fˠ aː ɾʲ c
n-aerpháirc	ˈ n̻ˠ eː ɾˠ ˈ fˠ aː ɾʲ c
d'aerpháirc	ˈ d̪ˠ eː ɾˠ ˈ fˠ aː ɾʲ c
m'aerpháirc	ˈ mˠ eː ɾˠ ˈ fˠ aː ɾʲ c
t-aer-ruathar	ˈ t̪ˠ eː ˈ ɾˠ ua h ə ɾˠ
b'aer-ruathar	ˈ bˠ eː ˈ ɾˠ ua h ə ɾˠ
n-aer-ruathar	ˈ n̻ˠ eː ˈ ɾˠ ua h ə ɾˠ
d'aer-ruathar	ˈ d̪ˠ eː ˈ ɾˠ ua h ə ɾˠ
m'aer-ruathar	ˈ mˠ eː ˈ ɾˠ ua h ə ɾˠ
b'Aetóip	bˠ 
nAetóip	n̻ˠ 
d'Aetóip	d̪ˠ 
m'Aetóip	mˠ 
tAetópach	t̪ˠ 
b'Aetópach	bˠ 
nAetópach	n̻ˠ 
d'Aetópach	d̪ˠ 
m'Aetópach	mˠ 
b'Afganastáin	ˈ bˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː nʲ
nAfganastáin	ˈ n̻ˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː nʲ
d'Afganastáin	ˈ d̪ˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː nʲ
m'Afganastáin	ˈ mˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː nʲ
tAfganastánach	ˈ t̪ˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː n̻ˠ ə h
b'Afganastánach	ˈ bˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː n̻ˠ ə h
nAfganastánach	ˈ n̻ˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː n̻ˠ ə h
d'Afganastánach	ˈ d̪ˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː n̻ˠ ə h
m'Afganastánach	ˈ mˠ a fˠ ɡ ə n̻ˠ ə sˠ t̪ˠ aː n̻ˠ ə h
tAfracach	ˈ t̪ˠ a fˠ ɾˠ ə k ə h
b'Afracach	ˈ bˠ a fˠ ɾˠ ə k ə h
nAfracach	ˈ n̻ˠ a fˠ ɾˠ ə k ə h
d'Afracach	ˈ d̪ˠ a fˠ ɾˠ ə k ə h
m'Afracach	ˈ mˠ a fˠ ɾˠ ə k ə h
tAfracánach	ˈ t̪ˠ a fˠ ɾˠ ə k aː n̻ˠ ə h
b'Afracánach	ˈ bˠ a fˠ ɾˠ ə k aː n̻ˠ ə h
nAfracánach	ˈ n̻ˠ a fˠ ɾˠ ə k aː n̻ˠ ə h
d'Afracánach	ˈ d̪ˠ a fˠ ɾˠ ə k aː n̻ˠ ə h
m'Afracánach	ˈ mˠ a fˠ ɾˠ ə k aː n̻ˠ ə h
b'Afraic	ˈ bˠ a fˠ ɾˠ ə c
nAfraic	ˈ n̻ˠ a fˠ ɾˠ ə c
d'Afraic	ˈ d̪ˠ a fˠ ɾˠ ə c
m'Afraic	ˈ mˠ a fˠ ɾˠ ə c
t-aga	ˈ t̪ˠ a ɡ ə
b'aga	ˈ bˠ a ɡ ə
n-aga	ˈ n̻ˠ a ɡ ə
d'aga	ˈ d̪ˠ a ɡ ə
m'aga	ˈ mˠ a ɡ ə
n-agair	ˈ n̻ˠ a ɡ ə ɾʲ
d'agair	ˈ d̪ˠ a ɡ ə ɾʲ
tAgaistíneach	ˈ t̪ˠ a ɡ ə ʃ tʲ iː nʲ ə h
b'Agaistíneach	ˈ bˠ a ɡ ə ʃ tʲ iː nʲ ə h
nAgaistíneach	ˈ n̻ˠ a ɡ ə ʃ tʲ iː nʲ ə h
d'Agaistíneach	ˈ d̪ˠ a ɡ ə ʃ tʲ iː nʲ ə h
m'Agaistíneach	ˈ mˠ a ɡ ə ʃ tʲ iː nʲ ə h
t-agallaí	ˈ t̪ˠ a ɡ ə l̻ˠ iː
b'agallaí	ˈ bˠ a ɡ ə l̻ˠ iː
n-agallaí	ˈ n̻ˠ a ɡ ə l̻ˠ iː
d'agallaí	ˈ d̪ˠ a ɡ ə l̻ˠ iː
m'agallaí	ˈ mˠ a ɡ ə l̻ˠ iː
t-agallamh	ˈ t̪ˠ a ɡ ə l̻ˠ uː
